Neighborhood,Latitude,Longitude
Aarey Milk Colony,18.9753024,72.8248975
Agripada,18.9663549,72.8091632
Altamount Road,19.1319915,72.8499596
"Amboli, Mumbai",19.1008449,72.9118196
Amrut Nagar,19.0207608,72.8652556
Antop Hill,19.0395778,72.9221562
Asalfa,18.91904145,72.8264976296761
Badhwar Park,19.0618939,72.9247918
Baiganwadi,18.9366512,72.8391325
Ballard Estate,19.0549792,72.8402203
Bandra,19.067115,72.8657245
Bandra Kurla Complex,19.1688142,72.8336777
Bangur Nagar,18.9537706,72.8274755
Bhuleshwar,18.9394438,72.8333427
Bori Bunder,18.97256625,72.80426769748523
Breach Candy,18.9766219,72.8327936
"Chandanwadi, Mumbai",19.1091482,72.8945793
Chandivali,18.9871984,72.8326716
Chira Bazaar,18.9593519,72.829914
Chor Bazaar,18.9359567,72.8273404
Churchgate,18.915091,72.8259691
Colaba,18.9871866,72.8438965
Cotton Green,18.9136406,72.8209295
Cuffe Parade,18.9634974,72.8087763
Cumbala Hill,18.9949978,72.8328707
Currey Road railway station,19.12829205,72.83019335523952
D.N. Nagar,19.019282,72.8428757
Dadar,19.028379,72.8415661
Dedh galli,19.0475502,72.9051895
Deonar,19.044463,72.8586177
Dharavi,18.9441404,72.8283521
Dhobitalao,19.1740198,72.8695219
Dindoshi,18.9622265,72.836795
Dongri,18.9515935,72.8256965
Fanas Wadi,19.049285,72.8293764
Fort (Mumbai precinct),19.1287942,72.8255543
Gavangaon,18.9822196,72.840654
Ghodapdeo,18.9543165,72.8179082
Girgaon,19.1738527,72.8670935
Gokuldham,18.9703373,72.8095468
Gopalrao Deshmukh Marg,19.241013,72.7821985
Gorai,18.962094999999998,72.81009812064995
Gowalia Tank,19.0369905,72.8621647
Guru Tegh Bahadur Nagar,19.0199623,72.8478929
Hindu colony,19.1192046,72.90727434203777
"Hiranandani Gardens, Mumbai",19.2446251,72.8479254
I.C. Colony,19.1210205,72.8218722
Irla,19.0925442,72.9019518245769
Kajuwadi,18.9279117,72.8316248
Kala Ghoda,18.9492575,72.8279382
Kalbadevi,18.9653224,72.8264349
Kamathipura,19.1168383,72.9401198
Kannamwar Nagar,18.9637535,72.8068617
Kemps Corner,19.07677855,72.82503089370692
Khar Danda,19.0612177,72.8448733
Khotachiwadi,19.0465755,72.8537044
Kopar Road,18.9914237,72.8364587
Lalbaug,19.05284665,72.92663512898429
Lallubhai Compound,19.0452939,72.820183
"Land's End, Bandra",19.2418873,72.8953172
Lion Gate (Mumbai),18.9466564,72.8308241
Lohar Chawl,19.1431604,72.8246332
Lokhandwala Complex,19.1375285,72.7918857
Madh Island,18.9825679,72.82416
"Mahalaxmi, Mumbai",19.02686855,72.85537892106737
"Maheshwari Udyan, Mumbai",19.0423145,72.8398344
Mahim,19.0141778,72.8972339
Mahul,18.9581616,72.8033665
Malabar Hill,19.1867193,72.8485884
Malad,18.9550564,72.8347919
"Mandvi, Mumbai",19.2067919,72.7850095
Manori,18.9414868,72.8238464
"Marine Drive, Mumbai",18.9456701,72.823781
Marine Lines,19.1172198,72.882342
Marol,19.0278149,72.8466813
"Matunga Road, Mumbai",18.9697337,72.8406201
Mendham's Point,19.1878962,72.8365955
Mira Road,18.9681782,72.8286009
Nala Sopara,18.9617363,72.8132189
Nana Chowk,18.9259514,72.8232083
Nariman Point,18.9097659,72.8098311
Navy Nagar,18.9524563,72.8174395
Nepean Sea Road,18.9560477,72.8155711
Royal Opera House (Mumbai),19.1944819,72.8389662
Orlem,19.1502437,72.8342294
Oshiwara,19.0649126,72.8270326
Pali Hill,19.0637337,72.8299913
Pali Village,19.0094817,72.8376614
Parel,19.1187195,72.9073476
Powai,19.0148811,72.8279556
Prabhadevi,18.9439793,72.8230229
Princess Street (Mumbai),18.9539939,72.8323786
Pydhonie,19.1082208,72.8835824
Saki Naka,19.1253556,72.8751701719707
SEEPZ,18.9987796,72.8544218
Sewri,19.1593202,72.83632
"Shastri Nagar, Goregaon",19.2228291,72.8409213
Shimpoli,19.027236000000002,72.8383477969171
Shivaji Park,19.027236000000002,72.8383477969171
SPDC Colony,19.173,72.8415
Sunder Nagar,18.9722687,72.8204976
Tardeo,19.06020445,72.88809866981853
Umarkhadi,18.8808,72.9386
Uran,19.2533188,72.7905148
Uttan,19.13025205,72.8213774957082
"Versova, Mumbai",19.0796294,72.8974906700789
Vidyavihar,19.4676823,72.8879975
Virar,19.0269192,72.8759337
Wadala,18.9553434,72.8079469
Western Suburbs (Mumbai),19.1743709,72.8629399
Yashodham,18.9494725,72.8307161
